review,category-sentiment,category,sentiment,
"kamar spt kos kos an , tidak ada handuk , tidak ada hot water parkir mobil sempit",linen_P1-neg,linen_P1,neg,
"kamar spt kos kos an , tidak ada handuk , tidak ada hot water parkir mobil sempit",air_panas_P1-neg,air_panas_P1,neg,
"Sprei kasur dan handuk masih kurangp bersih tetapi,klo lebih bersih pasti tambah oke",linen_P1-neg,linen_P1,neg,
"Tidak ada layanan untuk menonton televisi. Yang lainnya memuaskan, oke.",tv_P1-neg,tv_P1,neg,
"Tidak ada layanan untuk menonton televisi. Yang lainnya memuaskan, oke.",general-pos,general,pos,
cukup oke pelayanannya......cuma handuknya kurang bersih. terima kasih,service-pos,service,pos,
cukup oke pelayanannya......cuma handuknya kurang bersih. terima kasih,linen_P1-neg,linen_P1,neg,
"sangat memuaskan. Sprei dan handuknya wangi, kamarnya cukup bersih dan nyaman. AC dan air panasnya berfungsi dengan baik. Saluran TV sedikit bermasalah tapi cukup memuaskan. ini pengalaman kedua saya di airy gunung sahari. Terima.kasih",linen_P1-pos,linen_P1,pos,
"sangat memuaskan. Sprei dan handuknya wangi, kamarnya cukup bersih dan nyaman. AC dan air panasnya berfungsi dengan baik. Saluran TV sedikit bermasalah tapi cukup memuaskan. ini pengalaman kedua saya di airy gunung sahari. Terima.kasih",kebersihan-pos,kebersihan,pos,
"sangat memuaskan. Sprei dan handuknya wangi, kamarnya cukup bersih dan nyaman. AC dan air panasnya berfungsi dengan baik. Saluran TV sedikit bermasalah tapi cukup memuaskan. ini pengalaman kedua saya di airy gunung sahari. Terima.kasih",ac_P1-pos,ac_P1,pos,
"sangat memuaskan. Sprei dan handuknya wangi, kamarnya cukup bersih dan nyaman. AC dan air panasnya berfungsi dengan baik. Saluran TV sedikit bermasalah tapi cukup memuaskan. ini pengalaman kedua saya di airy gunung sahari. Terima.kasih",air_panas_P1-pos,air_panas_P1,pos,
"sangat memuaskan. Sprei dan handuknya wangi, kamarnya cukup bersih dan nyaman. AC dan air panasnya berfungsi dengan baik. Saluran TV sedikit bermasalah tapi cukup memuaskan. ini pengalaman kedua saya di airy gunung sahari. Terima.kasih",tv_P1-neg,tv_P1,neg,
baik dan selalu ingin kembali..cuma perbaiki wifi dan hot waternya utk kamar tertentu,wifi_p1-neg,wifi_p1,neg,
baik dan selalu ingin kembali..cuma perbaiki wifi dan hot waternya utk kamar tertentu,air_panas_P1-neg,air_panas_P1,neg,
"Cukup bagus,sesuai dengan tarif. Hanya air panas dari shower,tidak keluar pada pagi hari.Trus makanan sarapan pagi kurang enak",air_panas_P1-neg,air_panas_P1,neg,
"Cukup bagus,sesuai dengan tarif. Hanya air panas dari shower,tidak keluar pada pagi hari.Trus makanan sarapan pagi kurang enak",sunrise_meal_P1-neg,sunrise_meal_P1,neg,
kasur dan selimut agak kotor,linen_P1-neg,linen_P1,neg,
sangat baik semua nya..hanya tdk ada air panas utk mandi..sdg di perbaiki..,air_panas_P1-neg,air_panas_P1,neg,
sangat baik semua nya..hanya tdk ada air panas utk mandi..sdg di perbaiki..,general-pos,general,pos,
AC nya parah. Berisik bersurara. Bikin gak bisa tidur sama sekali. Lokasi nya susah minta ampun ditemukan.,ac_P1-neg,ac_P1,neg,
"Awal wifi bsgus, hari ke 2 wifi nya mati. Keseluruhanya ok",wifi_p1-neg,wifi_p1,neg,
"Awal wifi bsgus, hari ke 2 wifi nya mati. Keseluruhanya ok",general-pos,general,pos,
Penginapan ini cukup rensentatif dan sayangnya air panasnya tidak maksimal,air_panas_P1-neg,air_panas_P1,neg,
"Kamar bau, selimut dan handuk kusam. Staffnya gak ramah. Kamar tdk sesuai ekspektasi, sempit dan pengap. Breakfast kayak makanan untuk kucing, jd cari sarapan di luar. Untuk harga segitu, gak worth it.",bau_P1-neg,bau_P1,neg,
"Kamar bau, selimut dan handuk kusam. Staffnya gak ramah. Kamar tdk sesuai ekspektasi, sempit dan pengap. Breakfast kayak makanan untuk kucing, jd cari sarapan di luar. Untuk harga segitu, gak worth it.",linen_P1-neg,linen_P1,neg,
"Kamar bau, selimut dan handuk kusam. Staffnya gak ramah. Kamar tdk sesuai ekspektasi, sempit dan pengap. Breakfast kayak makanan untuk kucing, jd cari sarapan di luar. Untuk harga segitu, gak worth it.",service-neg,service,neg,
"Kamar bau, selimut dan handuk kusam. Staffnya gak ramah. Kamar tdk sesuai ekspektasi, sempit dan pengap. Breakfast kayak makanan untuk kucing, jd cari sarapan di luar. Untuk harga segitu, gak worth it.",sunrise_meal_P1-neg,sunrise_meal_P1,neg,
"Lumayan bagus, hanya air showernya awal panas lama2 dingin",air_panas_P1-neg,air_panas_P1,neg,
"kecewa penjaganya Krn kita dtgnya udh malem dan msh ada kerjaan balik lagi ke hotel udh jam 11 malem,Krn kesiangan bangun jam 11. siang baru cari makan pas jam 12 lg mandi udh di gedor2 Ama penjaganya dengan muka asem dan ngk ramah pas kita bilg msh siap2 dulu dengan galaknya dia bilg 'jangan lama2 dan tuh org nungguin di depan kamar",service-neg,service,neg,
"Lantai kamar mandi licin, Tidak disediakan shower cap, Pintu kamar mandi gagangnya berat/sulit diputar khawatir tidak bisa dibuka/terkunci dari dalam, Alangkah baiknya disediakan petunjuk arah kiblat di dalam kamar.",linen_P1-neg,linen_P1,neg,
"Pelayanan sudah baik,  tapi kamar mandi tidak bersih,  ada kerak di lantai dan toiletnya..  Cangkir teh juga ada kerak bekas teh.. Sarapan kurang sebanding dg harganya..",kebersihan-neg,kebersihan,neg,
"Pelayanan sudah baik,  tapi kamar mandi tidak bersih,  ada kerak di lantai dan toiletnya..  Cangkir teh juga ada kerak bekas teh.. Sarapan kurang sebanding dg harganya..",sunrise_meal_P1-neg,sunrise_meal_P1,neg,
"Lampu remang-remang, kamar mandi kotor, menginap 10 hari tapi hanya diberikan peralatan mandi sekali saja saat pertama masuk.",kebersihan-neg,kebersihan,neg,
"Lampu remang-remang, kamar mandi kotor, menginap 10 hari tapi hanya diberikan peralatan mandi sekali saja saat pertama masuk.",linen_P1-neg,linen_P1,neg,
"pelayanan baik, kebersihan kamar baik, hanya kelengkapannya saja tdk tersedianya thermos utk ait panas ataupun memasak air panas, selebihnya baik.",service-pos,service,pos,
"pelayanan baik, kebersihan kamar baik, hanya kelengkapannya saja tdk tersedianya thermos utk ait panas ataupun memasak air panas, selebihnya baik.",kebersihan-pos,kebersihan,pos,
"pelayanan baik, kebersihan kamar baik, hanya kelengkapannya saja tdk tersedianya thermos utk ait panas ataupun memasak air panas, selebihnya baik.",linen_P1-neg,linen_P1,neg,
"kamar pengap, properti seperti meja terasa kurang bersih. sisanya okay",kebersihan-neg,kebersihan,neg,
"cukup baik, pelayanan ramah, cuman sprei agak kotor dan lantai nya sedikit lengket...",service-pos,service,pos,
"cukup baik, pelayanan ramah, cuman sprei agak kotor dan lantai nya sedikit lengket...",linen_P1-neg,linen_P1,neg,
"cukup baik, pelayanan ramah, cuman sprei agak kotor dan lantai nya sedikit lengket...",kebersihan-neg,kebersihan,neg,
free snack + sabun / shampoo airy gak ada... AC nya juga bocor air nya keluar di dlm ruangan... semoga di perbaiki tempat dan kinerjanya dimana hak buat konsumen...,linen_P1-neg,linen_P1,neg,
free snack + sabun / shampoo airy gak ada... AC nya juga bocor air nya keluar di dlm ruangan... semoga di perbaiki tempat dan kinerjanya dimana hak buat konsumen...,ac_P1-neg,ac_P1,neg,
kamar sudah cukup bagus dan luas. ac cukup lama baru dingin dan air kamar mandi agak bau pas dibuka pertama kali,ac_P1-neg,ac_P1,neg,
kamar sudah cukup bagus dan luas. ac cukup lama baru dingin dan air kamar mandi agak bau pas dibuka pertama kali,bau_P1-neg,bau_P1,neg,
setiap menginap di airy pasti puas bngett.. pelayanan.y ramah . cumn yang ini ..kamar mandinya bau..aer panas.y ga nyala..ga ada tempat sampah di kamar... ga ada snack..padahal setiap nginep di airyroom selalu disediain...,service-pos,service,pos,
setiap menginap di airy pasti puas bngett.. pelayanan.y ramah . cumn yang ini ..kamar mandinya bau..aer panas.y ga nyala..ga ada tempat sampah di kamar... ga ada snack..padahal setiap nginep di airyroom selalu disediain...,bau_P1-neg,bau_P1,neg,
setiap menginap di airy pasti puas bngett.. pelayanan.y ramah . cumn yang ini ..kamar mandinya bau..aer panas.y ga nyala..ga ada tempat sampah di kamar... ga ada snack..padahal setiap nginep di airyroom selalu disediain...,air_panas_P1-neg,air_panas_P1,neg,
setiap menginap di airy pasti puas bngett.. pelayanan.y ramah . cumn yang ini ..kamar mandinya bau..aer panas.y ga nyala..ga ada tempat sampah di kamar... ga ada snack..padahal setiap nginep di airyroom selalu disediain...,linen_P1-neg,linen_P1,neg,
kamar nya oke bagus rapi.ac dingin. ramah.tapi wifinya parah gk bisa dipake..,ac_P1-pos,ac_P1,pos,
kamar nya oke bagus rapi.ac dingin. ramah.tapi wifinya parah gk bisa dipake..,service-pos,service,pos,
kamar nya oke bagus rapi.ac dingin. ramah.tapi wifinya parah gk bisa dipake..,wifi_p1-neg,wifi_p1,neg,
kamar kurang bersih,kebersihan-neg,kebersihan,neg,
very nice..tapi bnyk rambut,kebersihan-neg,kebersihan,neg,
"1. Sampah penghuni sebelumnya tidak dibersihkan 2. kamar mandi becek 3. staff penginapan tidak responsif saat saya butuh bantuan turun dari kendaraan, ketika hujan deras 4. deposit yang nominalnya lebih besar dari biaya inap 5. diatas jam 21 sulit kembali ke kamar, karena pintu utama dikunci 6. sistem check-in yang lama 7. parkir yang terbatas",kebersihan-neg,kebersihan,neg,
"1. Sampah penghuni sebelumnya tidak dibersihkan 2. kamar mandi becek 3. staff penginapan tidak responsif saat saya butuh bantuan turun dari kendaraan, ketika hujan deras 4. deposit yang nominalnya lebih besar dari biaya inap 5. diatas jam 21 sulit kembali ke kamar, karena pintu utama dikunci 6. sistem check-in yang lama 7. parkir yang terbatas",service-neg,service,neg,
1. Dari Kamar Mandi air menggenang di lantai kamar mandi jadinya banjir smpek meluber ke kamar dan mayan ngepel setiap abs mandi 2. Wifi sebelumnya pernah nginep di sini wifinya kenceng mayan lah sekarang connect sih tp ga bs apa2 udh protes ke pengelola tp sm aja 3. slh 1 oknum penjaga keamanan meminta uang parkir sungguh membuat tidak nyaman,kebersihan-neg,kebersihan,neg,
1. Dari Kamar Mandi air menggenang di lantai kamar mandi jadinya banjir smpek meluber ke kamar dan mayan ngepel setiap abs mandi 2. Wifi sebelumnya pernah nginep di sini wifinya kenceng mayan lah sekarang connect sih tp ga bs apa2 udh protes ke pengelola tp sm aja 3. slh 1 oknum penjaga keamanan meminta uang parkir sungguh membuat tidak nyaman,wifi_p1-neg,wifi_p1,neg,
1. Dari Kamar Mandi air menggenang di lantai kamar mandi jadinya banjir smpek meluber ke kamar dan mayan ngepel setiap abs mandi 2. Wifi sebelumnya pernah nginep di sini wifinya kenceng mayan lah sekarang connect sih tp ga bs apa2 udh protes ke pengelola tp sm aja 3. slh 1 oknum penjaga keamanan meminta uang parkir sungguh membuat tidak nyaman,service-neg,service,neg,
Hotel jorokkkkkkkk banyak semut,kebersihan-neg,kebersihan,neg,
Ah .. diksih yang bau rokok,bau_P1-neg,bau_P1,neg,
internetnya lambat,wifi_p1-neg,wifi_p1,neg,
"listrik sempet mati, kasur bau",linen_P1-neg,linen_P1,neg,
"handuk berbau, makanan telat dan tidak seperti standar airy sperti biasanya. karyawan sangat tdak ramah",linen_P1-neg,linen_P1,neg,
"handuk berbau, makanan telat dan tidak seperti standar airy sperti biasanya. karyawan sangat tdak ramah",sunrise_meal_P1-neg,sunrise_meal_P1,neg,
"handuk berbau, makanan telat dan tidak seperti standar airy sperti biasanya. karyawan sangat tdak ramah",service-neg,service,neg,
"hotel bagus, cm air hangat tidak bisa",air_panas_P1-neg,air_panas_P1,neg,
bantalnya enak.. kamarnya dingin.. keset ga ada lagi nha..,linen_P1-pos,linen_P1,pos,
bantalnya enak.. kamarnya dingin.. keset ga ada lagi nha..,ac_P1-pos,ac_P1,pos,
handuknya sudah tidak layak pakai. :( showernya bocor.,linen_P1-neg,linen_P1,neg,
"beyond expectation, tanpa menggunakan kupon diskon pun properti ini sangat worth it, kamar sangat bersih dan rapih, luas, lengkap, sampai kompor elektrik pun tersedia di kamar, cocok untuk long stay, suasana sangat nyaman, tenang, pelayanan sangat baik, hanya duct pembuangan di kamar mandi kotor sekali banyak bekas residu sabun dan rambut.",kebersihan-pos,kebersihan,pos,
"beyond expectation, tanpa menggunakan kupon diskon pun properti ini sangat worth it, kamar sangat bersih dan rapih, luas, lengkap, sampai kompor elektrik pun tersedia di kamar, cocok untuk long stay, suasana sangat nyaman, tenang, pelayanan sangat baik, hanya duct pembuangan di kamar mandi kotor sekali banyak bekas residu sabun dan rambut.",linen_P1-pos,linen_P1,pos,
"beyond expectation, tanpa menggunakan kupon diskon pun properti ini sangat worth it, kamar sangat bersih dan rapih, luas, lengkap, sampai kompor elektrik pun tersedia di kamar, cocok untuk long stay, suasana sangat nyaman, tenang, pelayanan sangat baik, hanya duct pembuangan di kamar mandi kotor sekali banyak bekas residu sabun dan rambut.",service-pos,service,pos,
"You get what you paid. Harga total untuk 3 kamar 1 malam cuma 324rban (pake promo airy) & di daerah Kemang! Lokasi oke, deket kemang. Kamar lumayan besar tp agak tidak sesuai foto. Karena bangunannya rumah, ukuran kamar berbeda-beda. Kolam renang oke. Tidak ada air panas untuk mandi dan Wifi nya ngga jalan (pdhl username dan password dah benar).",air_panas_P1-neg,air_panas_P1,neg,
"You get what you paid. Harga total untuk 3 kamar 1 malam cuma 324rban (pake promo airy) & di daerah Kemang! Lokasi oke, deket kemang. Kamar lumayan besar tp agak tidak sesuai foto. Karena bangunannya rumah, ukuran kamar berbeda-beda. Kolam renang oke. Tidak ada air panas untuk mandi dan Wifi nya ngga jalan (pdhl username dan password dah benar).",wifi_p1-neg,wifi_p1,neg,
"Kamarnya tdk ada jendela, ac kurang dingin, seprei/bantal agak berdebu..semalaman hidung jg gatel2..kamar kecil..breakfast ala kadarnya..ok utk tidur 1 mlm. Wifi nya kenceng soalny dpt kmr deket router wifi. Thanks utk snack complimentaryny.",ac_P1-neg,ac_P1,neg,
"Kamarnya tdk ada jendela, ac kurang dingin, seprei/bantal agak berdebu..semalaman hidung jg gatel2..kamar kecil..breakfast ala kadarnya..ok utk tidur 1 mlm. Wifi nya kenceng soalny dpt kmr deket router wifi. Thanks utk snack complimentaryny.",linen_P1-neg,linen_P1,neg,
"Kamarnya tdk ada jendela, ac kurang dingin, seprei/bantal agak berdebu..semalaman hidung jg gatel2..kamar kecil..breakfast ala kadarnya..ok utk tidur 1 mlm. Wifi nya kenceng soalny dpt kmr deket router wifi. Thanks utk snack complimentaryny.",sunrise_meal_P1-neg,sunrise_meal_P1,neg,
"Kamarnya tdk ada jendela, ac kurang dingin, seprei/bantal agak berdebu..semalaman hidung jg gatel2..kamar kecil..breakfast ala kadarnya..ok utk tidur 1 mlm. Wifi nya kenceng soalny dpt kmr deket router wifi. Thanks utk snack complimentaryny.",wifi_P1-pos,wifi_P1,pos,
wifi kurang joss,wifi_p1-neg,wifi_p1,neg,
Makanan kurang memuaskan dan wifi susah connect,sunrise_meal_P1-neg,sunrise_meal_P1,neg,
Makanan kurang memuaskan dan wifi susah connect,wifi_p1-neg,wifi_p1,neg,
kamar yg didapatkan tidak terlalu bersih. ,kebersihan-neg,kebersihan,neg,
Pelayanannya sudah ok... Kurangnya air hangatnya tidak hdup...,service-pos,service,pos,
Pelayanannya sudah ok... Kurangnya air hangatnya tidak hdup...,air_panas_P1-neg,air_panas_P1,neg,
"Bising,kurang bersih",kebersihan-neg,kebersihan,neg,
"Pro: Kamar luas, dekat dengan kuliner dengan various range harga. (kambing bang moody-warung tegal).deket 2 Minimart kolam renang kalau punya waktu .  Ada snack gratis Cons : bangunan lama, serasa di film tahun 70-80an, agak kotor but masih acceptable. Air minum di luar kamar. Staf kurang profesional. Tapi overall cost to value ratio okay banget",linen_P1-pos,linen_P1,pos,
"Pro: Kamar luas, dekat dengan kuliner dengan various range harga. (kambing bang moody-warung tegal).deket 2 Minimart kolam renang kalau punya waktu .  Ada snack gratis Cons : bangunan lama, serasa di film tahun 70-80an, agak kotor but masih acceptable. Air minum di luar kamar. Staf kurang profesional. Tapi overall cost to value ratio okay banget",kebersihan-neg,kebersihan,neg,
"Pro: Kamar luas, dekat dengan kuliner dengan various range harga. (kambing bang moody-warung tegal).deket 2 Minimart kolam renang kalau punya waktu .  Ada snack gratis Cons : bangunan lama, serasa di film tahun 70-80an, agak kotor but masih acceptable. Air minum di luar kamar. Staf kurang profesional. Tapi overall cost to value ratio okay banget",service-neg,service,neg,
kamar mandi bersih tapi kurang wangi,kebersihan-pos,kebersihan,pos,
kamar mandi bersih tapi kurang wangi,bau_P1-neg,bau_P1,neg,
"Overall baik murah pelayanan prima semua fasilitas lengkap sesuai yang ditawarkan pada saat reservasi... namun, salah satu kamar dr pesanan saya yang ACnya panas. untungnya pihak hotel bersedia mindahkan kamar ke yg lebih baik... NICE airy !!!",general-pos,general,pos,
"Overall baik murah pelayanan prima semua fasilitas lengkap sesuai yang ditawarkan pada saat reservasi... namun, salah satu kamar dr pesanan saya yang ACnya panas. untungnya pihak hotel bersedia mindahkan kamar ke yg lebih baik... NICE airy !!!",ac_P1-neg,ac_P1,neg,
"Overall baik murah pelayanan prima semua fasilitas lengkap sesuai yang ditawarkan pada saat reservasi... namun, salah satu kamar dr pesanan saya yang ACnya panas. untungnya pihak hotel bersedia mindahkan kamar ke yg lebih baik... NICE airy !!!",service-pos,service,pos,
Lumayan....tp kebersihanya masih kurang...selimut dan bantal nya kuning...harap ditingkat kan lagi...kebersihan nya,kebersihan-neg,kebersihan,neg,
Lumayan....tp kebersihanya masih kurang...selimut dan bantal nya kuning...harap ditingkat kan lagi...kebersihan nya,linen_P1-neg,linen_P1,neg,
"cukup baik...waktu pertama masuk kamar, kamarnya bau....shower air panas tidak berfungai...padahal sudah panggil petugas...",bau_P1-neg,bau_P1,neg,
"cukup baik...waktu pertama masuk kamar, kamarnya bau....shower air panas tidak berfungai...padahal sudah panggil petugas...",air_panas_P1-neg,air_panas_P1,neg,
"selimut nya tipis, sprei dan kain2 nya terlihat buluk, air panas nya tak berfungsi :(",linen_P1-neg,linen_P1,neg,
"selimut nya tipis, sprei dan kain2 nya terlihat buluk, air panas nya tak berfungsi :(",air_panas_P1-neg,air_panas_P1,neg,
"receptionistnya baru bangun. pelayanan kurang ramah, sampai disana pun kamar belum disiapkan, padahal udah jauh banget dari jam check in, terus ac ga nyala dan harus nunggu lagi, waktu check out juga mengecewakan.. saya tidak ingin menginap dihotel ini lagi..",service-neg,service,neg,
"receptionistnya baru bangun. pelayanan kurang ramah, sampai disana pun kamar belum disiapkan, padahal udah jauh banget dari jam check in, terus ac ga nyala dan harus nunggu lagi, waktu check out juga mengecewakan.. saya tidak ingin menginap dihotel ini lagi..",ac_P1-neg,ac_P1,neg,
suasana nyaman..hotel sesuai budget.lokasi sangat stategis di pusat legian..kamar mandi ok.kebersihan kamar dan sprei kurang banget..perlengkapan mandi dari airy sepertinya bekas..terutama sikat gigi nya,kebersihan-neg,kebersihan,neg,
suasana nyaman..hotel sesuai budget.lokasi sangat stategis di pusat legian..kamar mandi ok.kebersihan kamar dan sprei kurang banget..perlengkapan mandi dari airy sepertinya bekas..terutama sikat gigi nya,linen_P1-neg,linen_P1,neg,
tempatnya tenang..bersih dan nyaman. air panas/ shower di stabilin lg,kebersihan-pos,kebersihan,pos,
tempatnya tenang..bersih dan nyaman. air panas/ shower di stabilin lg,air_panas_P1-neg,air_panas_P1,neg,
worth it. sesuai dengan harga. sayang AC nya kurang dingin. keseluruhan sudah baik.,ac_P1-neg,ac_P1,neg,
worth it. sesuai dengan harga. sayang AC nya kurang dingin. keseluruhan sudah baik.,general-pos,general,pos,
"Cukup baik kok. Tapi, kamar yg saya dpt no window. dan handuknya kotor,huft. Selebihnya kaya ac dan air panas si oke aja.",linen_P1-neg,linen_P1,neg,
"Cukup baik kok. Tapi, kamar yg saya dpt no window. dan handuknya kotor,huft. Selebihnya kaya ac dan air panas si oke aja.",ac_P1-pos,ac_P1,pos,
"Cukup baik kok. Tapi, kamar yg saya dpt no window. dan handuknya kotor,huft. Selebihnya kaya ac dan air panas si oke aja.",air_panas_P1-pos,air_panas_P1,pos,
"kamar sempit, AC tidak dingin, berisik",ac_P1-neg,ac_P1,neg,
Kualitas wifi sangat buruk sekali bahkan kadang2 mati berkali kali saya menginap disini tapi kualitas wifi tetap saja begitu bahkan makin parah. Tolong diperhatikan,wifi_p1-neg,wifi_p1,neg,
"Ukuran kamar kecil tapi cukup lah, wifi kebetulan lagi rusak, sinyal sangat susah krn kamar dilantai bawah, kebersihan baik, ac dingin, tv ada n berfungsi. Selimut, handuk, snack, air mineral disediakan. Pelayanan bapak kosnya cukup baik dan helpful.",wifi_p1-neg,wifi_p1,neg,
"Ukuran kamar kecil tapi cukup lah, wifi kebetulan lagi rusak, sinyal sangat susah krn kamar dilantai bawah, kebersihan baik, ac dingin, tv ada n berfungsi. Selimut, handuk, snack, air mineral disediakan. Pelayanan bapak kosnya cukup baik dan helpful.",kebersihan-pos,kebersihan,pos,
"Ukuran kamar kecil tapi cukup lah, wifi kebetulan lagi rusak, sinyal sangat susah krn kamar dilantai bawah, kebersihan baik, ac dingin, tv ada n berfungsi. Selimut, handuk, snack, air mineral disediakan. Pelayanan bapak kosnya cukup baik dan helpful.",ac_P1-pos,ac_P1,pos,
"Ukuran kamar kecil tapi cukup lah, wifi kebetulan lagi rusak, sinyal sangat susah krn kamar dilantai bawah, kebersihan baik, ac dingin, tv ada n berfungsi. Selimut, handuk, snack, air mineral disediakan. Pelayanan bapak kosnya cukup baik dan helpful.",tv_P1-pos,tv_P1,pos,
"Ukuran kamar kecil tapi cukup lah, wifi kebetulan lagi rusak, sinyal sangat susah krn kamar dilantai bawah, kebersihan baik, ac dingin, tv ada n berfungsi. Selimut, handuk, snack, air mineral disediakan. Pelayanan bapak kosnya cukup baik dan helpful.",linen_P1-pos,linen_P1,pos,
"Ukuran kamar kecil tapi cukup lah, wifi kebetulan lagi rusak, sinyal sangat susah krn kamar dilantai bawah, kebersihan baik, ac dingin, tv ada n berfungsi. Selimut, handuk, snack, air mineral disediakan. Pelayanan bapak kosnya cukup baik dan helpful.",service-pos,service,pos,
"Ada kecoa di kamar mandi, AC kurang dingin, air panas malam hari tdk nyala",kebersihan-neg,kebersihan,neg,
"Ada kecoa di kamar mandi, AC kurang dingin, air panas malam hari tdk nyala",ac_P1-neg,ac_P1,neg,
"Ada kecoa di kamar mandi, AC kurang dingin, air panas malam hari tdk nyala",air_panas_P1-neg,air_panas_P1,neg,
"Cukup ramah pelayanan nya baik karena menyediakan pemesanan makanan minuman, Namun  perlu diperbaiki dari segi fasilitas kamar seperti Stopkontak nya di tambah, Air hangatnya kadang tidak berfungsi maka perlu di cek berkala",service-pos,service,pos,
"Cukup ramah pelayanan nya baik karena menyediakan pemesanan makanan minuman, Namun  perlu diperbaiki dari segi fasilitas kamar seperti Stopkontak nya di tambah, Air hangatnya kadang tidak berfungsi maka perlu di cek berkala",air_panas_P1-neg,air_panas_P1,neg,
"kurang bersih , tanpa lobby, service tidak selalu standby",kebersihan-neg,kebersihan,neg,
"kurang bersih , tanpa lobby, service tidak selalu standby",service-neg,service,neg,
bersih tempatnya. saya suka. cuma air panasnya lagi macet kmrn. ,kebersihan-pos,kebersihan,pos,
bersih tempatnya. saya suka. cuma air panasnya lagi macet kmrn. ,air_panas_P1-neg,air_panas_P1,neg,
